,CohortMonth,MonthDifference,Код клиента
0,2024-07,0,62
1,2024-07,1,39
2,2024-07,2,28
3,2024-07,3,28
4,2024-07,4,25
5,2024-07,5,24
6,2024-07,6,27
7,2024-07,7,24
8,2024-07,8,21
9,2024-07,9,30
10,2024-07,10,32
11,2024-07,11,25
12,2024-07,12,21
13,2024-08,0,131
14,2024-08,1,43
15,2024-08,2,49
16,2024-08,3,45
17,2024-08,4,35
18,2024-08,5,31
19,2024-08,6,34
20,2024-08,7,43
21,2024-08,8,40
22,2024-08,9,40
23,2024-08,10,38
24,2024-08,11,38
25,2024-09,0,85
26,2024-09,1,32
27,2024-09,2,22
28,2024-09,3,19
29,2024-09,4,26
30,2024-09,5,21
31,2024-09,6,20
32,2024-09,7,21
33,2024-09,8,21
34,2024-09,9,13
35,2024-09,10,18
36,2024-10,0,64
37,2024-10,1,14
38,2024-10,2,13
39,2024-10,3,12
40,2024-10,4,10
41,2024-10,5,15
42,2024-10,6,13
43,2024-10,7,17
44,2024-10,8,14
45,2024-10,9,7
46,2024-11,0,59
47,2024-11,1,19
48,2024-11,2,13
49,2024-11,3,11
50,2024-11,4,11
51,2024-11,5,14
52,2024-11,6,11
53,2024-11,7,18
54,2024-11,8,9
55,2024-12,0,27
56,2024-12,1,3
57,2024-12,2,5
58,2024-12,3,5
59,2024-12,4,5
60,2024-12,5,7
61,2024-12,6,8
62,2024-12,7,1
63,2025-01,0,32
64,2025-01,1,5
65,2025-01,2,7
66,2025-01,3,8
67,2025-01,4,6
68,2025-01,5,5
69,2025-01,6,1
70,2025-02,0,27
71,2025-02,1,4
72,2025-02,2,9
73,2025-02,3,7
74,2025-02,4,5
75,2025-02,5,4
76,2025-03,0,20
77,2025-03,1,5
78,2025-03,2,3
79,2025-03,3,5
80,2025-03,4,2
81,2025-04,0,29
82,2025-04,1,10
83,2025-04,2,6
84,2025-04,3,4
85,2025-05,0,27
86,2025-05,1,7
87,2025-05,2,5
88,2025-06,0,30
89,2025-06,1,6
90,2025-07,0,18
